Parcel ID,Location,Total Value,Lot size,Sale date,Bed/Bath,Price,lats/long,distance,d_0_4,d_4_8,d_8_12,d_12_16,Fukushima,Fdis1,Fdis2,Fdis3
001-000-027-000,400  COURT ST,"$251,800 ",11840,5/28/10,4,185000,"(41.97972015, -70.69286679999999)",6.501248773,0,1,0,0,0,0,0,0
085-000-020-067,33  CRABTREE RD,"$233,500 ",19998,4/30/10,3,193500,"(41.89504035, -70.63628759999999)",4.510525131,0,1,0,0,0,0,0,0
085-000-020-087,59  CRABTREE RD,"$316,600 ",19998,2/3/10,6,335000,"(41.892671899999996, -70.6351636)",4.593386751,0,1,0,0,0,0,0,0
085-000-020-096,68  CRABTREE RD,"$258,900 ",21305,9/15/10,4,230000,"(41.8914429, -70.63472877)",4.643280321,0,1,0,0,0,0,0,0
078D-000-016-379,20  CROOKEDWALK,"$432,600 ",6804,5/12/10,4,395000,"(41.87898325, -70.57718866)",4.411392808,0,1,0,0,0,0,0,0
026-000-009-092,15  CURTIS DR,"$359,000 ",31324,3/31/10,6,370000,"(41.93803872, -70.63575486)",3.06147975,1,0,0,0,0,0,0,0
026-000-009-097,31  CURTIS DR,"$376,000 ",24790,8/4/10,5,325000,"(41.93729855, -70.63677223)",3.119529261,1,0,0,0,0,0,0,0
026-000-009-103,79  CURTIS DR,"$393,100 ",35244,5/28/10,6,420000,"(41.93483115, -70.63875343)",3.245763731,1,0,0,0,0,0,0,0
130-002-000A-033,41  CYPRESS ST,"$151,400 ",6970,8/23/10,3,150000,"(41.76697225, -70.62700706)",12.41619115,0,0,0,1,0,0,0,0
107-000-064-006,22  DARBY STATION RD,"$522,100 ",126285,8/27/10,6,480000,"(41.93027865, -70.74583089)",8.759100036,0,0,1,0,0,0,0,0
123-001P-730-000,19  DEBBIE CT,"$310,000 ",32195,9/1/10,4,270000,"(41.7961559, -70.6005949)",10.20245174,0,0,1,0,0,0,0,0
096-000-070-017,7  DIANE AV,"$215,900 ",15821,3/1/10,3,200000,"(41.908466, -70.71142978)",7.339507347,0,1,0,0,0,0,0,0
122-010P-1180-000,22  DICKSON DR,"$293,500 ",26097,7/21/10,1,245000,"(41.815876, -70.590751)",8.796629056,0,0,1,0,0,0,0,0
122-010P-1208-000,71  DICKSON DR,"$309,200 ",26968,5/24/10,6,249900,"(41.81993277, -70.58971414)",8.513246707,0,0,1,0,0,0,0,0
073-000-007-023,58  DONNA DR,"$393,100 ",24790,6/15/10,6,379500,"(41.89449735, -70.55156795)",3.582989232,1,0,0,0,0,0,0,0
130-002-000C-078,12  DOWNEY ST,"$176,500 ",13033,2/26/10,3,180000,"(41.7655539, -70.63242839)",12.57295021,0,0,0,1,0,0,0,0
098-000-013-000,32  DUNHAM RD,"$302,700 ",12088,8/23/10,3,270000,"(41.9376743, -70.69585937)",6.150767116,0,1,0,0,0,0,0,0
026-000-015-022,1  DWIGHT AV,"$404,300 ",24354,6/18/10,6,345000,"(41.9419519, -70.64100631)",3.314186552,1,0,0,0,0,0,0,0
082-000-007-003,19  E RUSSELL MILLS RD,"$652,100 ",60945,9/23/10,5,215000,"(41.918361, -70.626995)",3.096292676,1,0,0,0,0,0,0,0
049-003-205-000,103  ELLISVILLE DR,"$202,000 ",6098,7/27/10,4,179900,"(41.8905331, -70.53450094)",4.21832239,0,1,0,0,0,0,0,0
052-000-034-003,26  ELLISVILLE GREEN,"$415,000 ",60509,12/30/10,5,368000,"(41.850064, -70.53848315)",6.703415712,0,1,0,0,0,0,0,0
053-000-027-073,75  ELLISVILLE RD,"$1,117,500 ",30888,5/14/10,7,1200000,"(41.83224745, -70.54251626)",7.837675283,0,1,0,0,0,0,0,0
093-000-002-013,8  EMERALD TREE LN,"$599,700 ",101891,8/24/10,8,595000,"(41.88504185, -70.70941848)",7.921749281,0,1,0,0,0,0,0,0
044-006-171-000,31  EMERSON RD,"$444,100 ",13068,8/27/10,6,500000,"(41.93431079999999, -70.5663559)",0.797208384,1,0,0,0,0,0,0,0
044-006-209-000,50  EMERSON RD,"$408,700 ",5227,10/1/10,4,420000,"(41.93551055, -70.56557104)",0.767445257,1,0,0,0,0,0,0,0
096-000-057-024,29  EUCLIDS WAY,"$308,400 ",25661,5/28/10,5,255000,"(41.908266299999994, -70.70725420000001)",7.140840442,0,1,0,0,0,0,0,0
085-000-020-172A,3  EVELYN RD,"$243,200 ",19998,8/27/10,4,212250,"(41.89165485, -70.63634252)",4.686246995,0,1,0,0,0,0,0,0
077E-000-015-108,46  FAIRVIEW LN,"$422,700 ",42650,11/19/10,5,409000,"(41.87940136, -70.59175784)",4.450684413,0,1,0,0,0,0,0,0
049-003-392-000,31  FALMOUTH RD,"$168,300 ",30453,9/22/10,3,152000,"(41.88883235, -70.53656503)",4.26673427,0,1,0,0,0,0,0,0
114-000-019-059,22  FATHOM RD,"$301,500 ",43956,1/25/10,4,211055,"(41.82926385, -70.60325055)",7.96139006,0,1,0,0,0,0,0,0
103-000-006-101,22  FEDERAL FURNACE RD,"$291,600 ",24790,5/25/10,4,270800,"(41.9423107, -70.69532826)",6.112730198,0,1,0,0,0,0,0,0
103-000-006-103,32  FEDERAL FURNACE RD,"$304,700 ",25226,4/2/10,3,292000,"(41.94152020000001, -70.69624009)",6.160353165,0,1,0,0,0,0,0,0
099-000-003-013,732  FEDERAL FURNACE RD,"$387,400 ",84903,11/16/10,6,130000,"(41.90043814, -70.71241629)",7.584436074,0,1,0,0,0,0,0,0
099-000-002-015,821  FEDERAL FURNACE RD,"$275,400 ",87952,4/20/10,4,210000,"(41.8950996, -70.71341082)",7.780932851,0,1,0,0,0,0,0,0
099-000-002-008,863  FEDERAL FURNACE RD,"$276,400 ",68786,5/17/10,4,253000,"(41.89334355, -70.71341290000001)",7.833271155,0,1,0,0,0,0,0,0
093-000-002-002G,924  FEDERAL FURNACE RD,"$346,100 ",61380,6/24/10,5,338500,"(41.88963025, -70.71361192)",7.957792412,0,1,0,0,0,0,0,0
106-000-001-174,3  FILMORE ST,"$325,900 ",22612,9/28/10,7,320000,"(41.93120155, -70.71668471)",7.258704168,0,1,0,0,0,0,0,0
106-001-016-037,34  FLINT LOCKE DR,"$299,300 ",12632,5/28/10,4,282000,"(41.930505, -70.72355075)",7.615720583,0,1,0,0,0,0,0,0
106-001-016-005,8  FLINT LOCKE DR,"$316,600 ",10929,1/12/10,5,301000,"(41.93305245, -70.72406876)",7.624417027,0,1,0,0,0,0,0,0
048-054-191-000,11  FLORIDA AVE W,"$206,800 ",10001,8/20/10,3,110000,"(41.898625700000004, -70.55059844)",3.338745903,1,0,0,0,0,0,0,0
077D-000-010-190,12  FOREST EDGE,"$556,200 ",29582,1/27/10,5,555000,"(41.888627299999996, -70.59962214)",3.927677773,1,0,0,0,0,0,0,0
060-000-014-002,24  FORTUNE DR,"$305,100 ",60074,5/21/10,4,320000,"(41.83312165, -70.57198840000001)",7.58040047,0,1,0,0,0,0,0,0
077E-000-015-243,11  FOUNTAIN GRASS WAYE,"$452,400 ",100375,7/3/10,5,465015,"(41.870965399999996, -70.59150905)",5.023046822,0,1,0,0,0,0,0,0
122-010P-959-000,12  FREEMAN DR,"$405,600 ",32195,7/27/10,6,329900,"(41.8235636, -70.58775916)",8.255886834,0,0,1,0,0,0,0,0
023-000-033-000,17  FREMONT ST,"$342,700 ",8930,10/7/10,6,90000,"(41.9535141, -70.65752369)",4.228205379,0,1,0,0,0,0,0,0
122-000-002-240,5  FRESH WIND DR,"$214,600 ",10454,6/4/10,4,200000,"(41.82478345, -70.59828900000001)",8.227660551,0,0,1,0,0,0,0,0
059-000-032-008,32  GARDNER DR,"$280,600 ",10890,10/22/10,3,320000,"(41.8097995, -70.57575608)",9.186226025,0,0,1,0,0,0,0,0
122-010P-1250-000,70  GARRETT PL,"$345,300 ",31324,10/13/10,5,260000,"(41.8175914, -70.59705606)",8.711832207,0,0,1,0,0,0,0,0
123-001P-1086-000,81  GARRETT PL,"$319,000 ",35244,5/14/10,5,257900,"(41.8181067, -70.59582518)",8.669075218,0,0,1,0,0,0,0,0
048-049-396-000,31  GLEN AV,"$404,400 ",13316,8/2/10,5,410000,"(41.90152085, -70.5457046)",3.272354043,1,0,0,0,0,0,0,0
048-049-379-000,38  GLEN AV,"$272,800 ",10001,1/8/10,4,265000,"(41.90212215, -70.54451646)",3.266862984,1,0,0,0,0,0,0,0
095-000-036B-000,66  GOODWIN RD,"$354,900 ",34809,8/27/10,4,350000,"(41.92373462, -70.70806876)",6.898068614,0,1,0,0,0,0,0,0
009-000-002C-000Z,12  GOULD RD,"$285,600 ",16570,1/27/10,3,243000,"(41.96659785, -70.681916)",5.661848717,0,1,0,0,0,0,0,0
027-000-026-001,16  GREENER PASTURES LN,"$314,300 ",54846,2/16/10,4,305000,"(41.93809774, -70.66156379)",4.385489035,0,1,0,0,0,0,0,0
077C-000-010-282,24  GREY SHALE,"$553,400 ",12959,6/30/10,5,465000,"(41.89045575, -70.60511059)",3.904587667,1,0,0,0,0,0,0,0
132-000G-074-000,  GURNET,"$329,300 ",2178,10/7/10,2,200000,"(42.003755299999995, -70.6005716)",4.376320236,0,1,0,0,0,0,0,0
027-000-055-107,1  HASKIN ST,"$273,700 ",14810,3/30/10,4,237500,"(41.94008045, -70.65643834)",4.113379376,0,1,0,0,0,0,0,0
082-000-011C-006,29  HAYDEN RIDGE,"$582,900 ",77498,11/22/10,6,450000,"(41.9272449, -70.62966846)",2.935704928,1,0,0,0,0,0,0,0
077C-000-010-366,29  HEARTHSTONE,"$723,300 ",20090,4/30/10,6,730000,"(41.88590685, -70.60633003)",4.219632406,0,1,0,0,0,0,0,0
105-000-006-014,23  HIGH PINE DR,"$299,800 ",19998,4/14/10,5,263400,"(41.92984346, -70.70950490000001)",6.902816224,0,1,0,0,0,0,0,0
078D-000-016-185,20  HIGHBANK TRAIL,"$432,100 ",6739,6/21/10,4,419000,"(41.8850185, -70.57821650000001)",3.995555022,1,0,0,0,0,0,0,0
078D-000-016-186,22  HIGHBANK TRAIL,"$498,800 ",6621,9/30/10,6,435000,"(41.88486635, -70.57819434)",4.006031727,0,1,0,0,0,0,0,0
050-001-143Z-000,51  HILLSIDE DR,"$269,600 ",10001,6/30/10,5,200000,"(41.8774661, -70.53343165)",5.036886868,0,1,0,0,0,0,0,0
045-000-039-330,55  HILLTOP AV,"$229,200 ",5001,2/4/10,3,205000,"(41.92361415, -70.55210815)",1.837889475,1,0,0,0,0,0,0,0
045-000-039-333,61  HILLTOP AV,"$292,300 ",10001,4/30/10,5,287000,"(41.9230914, -70.55225727)",1.858972145,1,0,0,0,0,0,0,0
087-000-031B-000,32  HOG ROCK RD,"$269,100 ",160736,6/29/10,3,189900,"(41.89854485, -70.66756413)",5.595284785,0,1,0,0,0,0,0,0
106-000-002-279,14  HOOD DR,"$298,700 ",27839,8/13/10,4,250000,"(41.92496955, -70.7188174)",7.427732045,0,1,0,0,0,0,0,0
106-000-002-289,34  HOOD DR,"$304,800 ",20434,1/29/10,4,285000,"(41.92948573, -70.72009983)",7.447515807,0,1,0,0,0,0,0,0
106-000-001-054,11  HUGHES ST,"$288,700 ",20434,7/23/10,4,240000,"(41.93624225, -70.7140816)",7.094136244,0,1,0,0,0,0,0,0
095-000-036-121,48  HUNTINGTON RD,"$315,700 ",19998,8/18/10,4,277000,"(41.92746335, -70.70480252)",6.686959931,0,1,0,0,0,0,0,0
049-004-562-000,45  HYANNIS RD,"$216,300 ",19689,8/24/10,3,202300,"(41.8890185, -70.5350142)",4.29493582,0,1,0,0,0,0,0,0
049-003-422-000,62  HYANNIS RD,"$303,700 ",8712,7/15/10,6,299000,"(41.89023529999999, -70.53549794)",4.209786607,0,1,0,0,0,0,0,0
067-000-002-111,46  INDEPENDENCE ST,"$462,600 ",93179,5/11/10,8,381000,"(41.87319787, -70.61764298)",5.253331493,0,1,0,0,0,0,0,0
056-000-051-025,41  JANEBAR CIR,"$291,400 ",15982,11/3/10,4,290000,"(41.80394115, -70.55061998)",9.684307845,0,0,1,0,0,0,0,0
056-000-051-040,76  JANEBAR CIR,"$274,200 ",15059,10/20/10,4,250000,"(41.8029899, -70.5534521)",9.730244972,0,0,1,0,0,0,0,0
019-000-189-000,14  JEFFERSON ST,"$329,600 ",2679,2/4/10,4,329000,"(41.95254335, -70.6629026)",4.491023458,0,1,0,0,0,0,0,0
084-000-019A-009,16  JORDAN RD,"$381,400 ",40907,6/14/10,5,34500,"(41.9043081, -70.63558773)",4.038165657,0,1,0,0,0,0,0,0
036-000-008C-006,14  KARLE PL,"$480,100 ",59638,5/14/10,6,456000,"(41.940270700000006, -70.63368805)",2.942089493,1,0,0,0,0,0,0,0
077C-000-010-448,6  KETTLE VIEW,"$1,165,600 ",21436,5/6/10,7,1225000,"(41.88726825, -70.6039395)",4.088232365,0,1,0,0,0,0,0,0
096-000-062-093A,22  KING AV,"$302,500 ",13743,5/24/10,4,285000,"(41.90842585, -70.70476490000001)",7.016322818,0,1,0,0,0,0,0,0
096-000-062-065,28  KING AV,"$181,800 ",7976,11/3/10,3,80108,"(41.90820135, -70.7042747)",6.997857826,0,1,0,0,0,0,0,0
096-000-062-124,6  KNIGHT AV,"$310,100 ",11326,7/21/10,5,300000,"(41.906240999999994, -70.70757873)",7.204595303,0,1,0,0,0,0,0,0
106-000-002-296,41  KNOLL RD,"$319,100 ",19998,6/1/10,5,300000,"(41.930293799999994, -70.7192846)",7.39902163,0,1,0,0,0,0,0,0
104-000-017A-092,34  KRISTIN RD,"$315,500 ",19998,4/30/10,5,289000,"(41.94114494, -70.72981648)",7.890681233,0,1,0,0,0,0,0,0
090-000-008-044,25  LADY SLIPPER DR,"$328,900 ",14810,12/30/10,6,297500,"(41.92874365, -70.69930173)",6.393104978,0,1,0,0,0,0,0,0
130-002-000A-058,31  LAKE DR,"$191,100 ",7405,9/24/10,4,187500,"(41.7672758, -70.6288495)",12.4159593,0,0,0,1,0,0,0,0
096-000-062-015,15  LANCASTER AV,"$250,000 ",6098,7/14/10,4,200000,"(41.90991325, -70.70261845)",6.877619053,0,1,0,0,0,0,0,0
106-000-022-004A,14  LAWRENCE RD,"$304,400 ",24790,12/20/10,5,291000,"(41.92062415, -70.72371115)",7.730785062,0,1,0,0,0,0,0,0
027-000-062B-005,41  LELAND WAY,"$424,900 ",94922,6/25/10,6,395000,"(41.9460612, -70.65848363)",4.219611222,0,1,0,0,0,0,0,0
032-000-001-034,13  LIBERTY ST,"$276,900 ",6098,1/21/10,3,242500,"(41.96654785, -70.68508643)",5.817442395,0,1,0,0,0,0,0,0
112-000-003-091,27  LINDA LN,"$424,100 ",30017,7/30/10,6,319000,"(41.84081906, -70.59905859)",7.13898526,0,1,0,0,0,0,0,0
059-000-029-054,241  LITTLE SANDY POND RD,"$350,300 ",36551,1/13/10,5,347500,"(41.811769, -70.570646)",9.055556582,0,0,1,0,0,0,0,0
123-001P-545B-000,515  LITTLE SANDY POND RD,"$326,800 ",26097,4/2/10,5,265000,"(41.79751365, -70.59855395)",10.09714109,0,0,1,0,0,0,0,0
122-000-007-054,84  LONG DUCK POND RD,"$312,200 ",28710,1/15/10,5,278000,"(41.822349700000004, -70.59473945)",8.371798435,0,0,1,0,0,0,0,0
056-000-065-006,1155  LONG POND RD,"$281,800 ",43521,6/15/10,4,274000,"(41.81013716, -70.5540989)",9.236655831,0,0,1,0,0,0,0,0
064-000-010-016,809  LONG POND RD,"$435,100 ",141531,12/1/10,4,201000,"(41.8461343, -70.58949150000001)",6.710921192,0,1,0,0,0,0,0,0
113-000-017-039,917  LONG POND RD,"$496,100 ",70964,5/17/10,8,470000,"(41.83421745, -70.57920631)",7.501991261,0,1,0,0,0,0,0,0
060-000-025-010A,951  LONG POND RD,"$510,400 ",48312,11/19/10,8,275000,"(41.83011794, -70.57616015)",7.783858132,0,1,0,0,0,0,0,0
123-001P-907-000,243  LUNN`S WAY,"$370,100 ",24790,8/27/10,6,366000,"(41.8347154, -70.5791678)",7.467595878,0,1,0,0,0,0,0,0
123-001P-786-000,324  LUNN`S WAY,"$271,200 ",26097,10/7/10,5,227500,"(41.81038385, -70.58970359999999)",9.170329768,0,0,1,0,0,0,0,0
122-010P-1168-000,455  LUNN`S WAY,"$270,500 ",28710,10/29/10,4,261000,"(41.81818025, -70.59168798)",8.642338115,0,0,1,0,0,0,0,0
124-009P-083-000,62  LUNN`S WAY,"$280,200 ",28710,3/19/10,4,270000,"(41.8006598, -70.60258807)",9.907290792,0,0,1,0,0,0,0,0
113-000-017-050,661  LUNN`S WAY,"$455,900 ",95793,6/15/10,6,430000,"(41.830076, -70.58508690000001)",7.798706694,0,1,0,0,0,0,0,0
048-049-186-000,102  MANOMET AV,"$416,400 ",21305,12/10/10,6,435000,"(41.90865175, -70.54807539)",2.786346276,1,0,0,0,0,0,0,0
048-049-031B-000,9  MANOMET AV,"$215,000 ",2178,1/25/10,4,150000,"(41.9034699, -70.54533358)",3.165353992,1,0,0,0,0,0,0,0
049-002-148-000,41  MANOMET BEACH BLVD,"$222,400 ",5301,2/26/10,3,219000,"(41.89458305, -70.54008253)",3.831808094,1,0,0,0,0,0,0,0
046-000-011A-021,102R  MANOMET POINT RD,"$304,700 ",20870,8/27/10,5,301500,"(41.925121000000004, -70.545338)",2.029239523,1,0,0,0,0,0,0,0
046-000A-108-000,232  MANOMET POINT RD,"$433,700 ",10890,7/29/10,2,375000,"(41.92680325, -70.54180565)",2.113725964,1,0,0,0,0,0,0,0
049-001-008-000,18  MASSASOIT AV,"$741,300 ",8276,7/29/10,6,415000,"(41.89935685, -70.54159355)",3.507953836,1,0,0,0,0,0,0,0
112-000-003-034,1  MAUREEN WAY,"$321,200 ",27404,10/27/10,5,265000,"(41.84056835, -70.59236539)",7.108616604,0,1,0,0,0,0,0,0
050-000-002-628,40  MAYFLOWER DR,"$231,600 ",6970,8/19/10,4,60000,"(41.87258205, -70.5328118)",5.354655753,0,1,0,0,0,0,0,0
048-054-102-000Z,46  MELIX AVE W,"$232,200 ",19998,11/29/10,3,205000,"(41.8973723, -70.55103714)",3.409262336,1,0,0,0,0,0,0,0
054-000-010-076,84  MENOTOMY RD,"$416,100 ",11326,8/4/10,5,90000,"(41.81441493, -70.54175295)",9.048907714,0,0,1,0,0,0,0,0
078D-000-016-120,9  MISTY KNOLL,"$402,500 ",7309,6/15/10,4,395000,"(41.88798055, -70.57960719)",3.793321712,1,0,0,0,0,0,0,0
106-000-001-126,13  MONTGOMERY DR,"$302,600 ",23048,1/29/10,5,232500,"(41.93577055, -70.71673356)",7.232677891,0,1,0,0,0,0,0,0
122-010P-939-000,7  MORASKI LN,"$398,800 ",28275,5/21/10,6,325000,"(41.81662535, -70.58572491)",8.727430028,0,0,1,0,0,0,0,0
100-000-035B-002,9  MORTON PARK RD,"$308,700 ",30017,7/30/10,5,335000,"(41.947385499999996, -70.6818323)",5.425808528,0,1,0,0,0,0,0,0
060-000-003-002,36  MOUNTAIN HILL RD,"$451,300 ",68786,11/8/10,5,417000,"(41.83662743, -70.57462698)",7.335330204,0,1,0,0,0,0,0,0
022-000-063B-000Z,27  MT PLEASANT ST,"$350,300 ",11199,2/19/10,5,340000,"(41.94964105, -70.65743071)",4.185536007,0,1,0,0,0,0,0,0
014-000-052-000,5  MURRAY ST,"$293,500 ",4099,6/18/10,4,275000,"(41.96186705, -70.67167369)",5.065074221,0,1,0,0,0,0,0,0
112-000-003-113,17  NANCY DR,"$318,100 ",19998,7/30/10,5,255000,"(41.8408512, -70.59772138)",7.125980659,0,1,0,0,0,0,0,0
123-001P-781-000,21  NATHAN LN,"$311,000 ",27404,11/28/10,6,235000,"(41.809546600000004, -70.59115826)",9.233716446,0,0,1,0,0,0,0,0
050-000-037-067,20  NAUTICAL WAY,"$403,500 ",62439,6/7/10,5,115000,"(41.870333200000005, -70.54269738)",5.306259852,0,1,0,0,0,0,0,0
010-000-030-000,32  NELSON ST,"$1,480,100 ",70058,1/15/10,5,1350000,"(41.966772, -70.672836)",5.219538183,0,1,0,0,0,0,0,0
018-000-035-000,36  NEWFIELD ST,"$321,800 ",17498,2/17/10,3,252000,"(41.950292100000006, -70.6669008)",4.675433457,0,1,0,0,0,0,0,0
032-000-018A-001,37  NICKS ROCK RD,"$278,200 ",26532,5/19/10,4,235000,"(41.96723109, -70.68791307)",5.97041742,0,1,0,0,0,0,0,0
032-000-039-001,74  NICKS ROCK RD,"$424,300 ",29582,8/13/10,6,312000,"(41.96746242, -70.68513629)",5.837885549,0,1,0,0,0,0,0,0
054-000-003-035,7  OAK BLUFF CIR,"$504,400 ",25226,10/25/10,6,450000,"(41.82559135, -70.54750427)",8.235044391,0,0,1,0,0,0,0,0
026-000-039A-000,20  OBERY ST,"$303,600 ",14810,11/23/10,4,250000,"(41.94330521, -70.6491687)",3.734192924,1,0,0,0,0,0,0,0
048-049-054-000,20  OLD BEACH RD,"$232,900 ",18295,6/14/10,4,156000,"(41.9014092, -70.54866965)",3.207398715,1,0,0,0,0,0,0,0
048-049-031D-000,64  OLD BEACH RD,"$356,300 ",8712,9/24/10,4,346000,"(41.90340870000001, -70.54497908)",3.178347095,1,0,0,0,0,0,0,0
002-000-002-017W,24  OLD MILL LN,"$278,900 ",19998,7/30/10,5,273500,"(41.973467, -70.69992712)",6.689389011,0,1,0,0,0,0,0,0
050-000-039-722,22  OLD SCHOOLHOUSE RD,"$187,300 ",10899,8/13/10,2,79900,"(41.87069317, -70.53894094)",5.350202321,0,1,0,0,0,0,0,0
120-000-033-004A,16  OLIVER NECK RD,"$276,000 ",8551,7/9/10,4,221500,"(41.80588615, -70.62242223)",9.74585055,0,0,1,0,0,0,0,0
120-000-033-009,26  OLIVER NECK RD,"$270,900 ",13098,8/12/10,3,263500,"(41.806769700000004, -70.62397904)",9.706555732,0,0,1,0,0,0,0,0
104-000-017A-027,3  PADDINGTON WAY,"$307,900 ",26532,12/23/10,4,214100,"(41.9439395, -70.72541292)",7.663014418,0,1,0,0,0,0,0,0
096-000-019-099,73  PALMER RD,"$279,300 ",12802,11/1/10,6,220000,"(41.91798339, -70.69248646)",6.210145198,0,1,0,0,0,0,0,0
107-000-026-014,14  PARKER DR,"$273,900 ",14810,5/12/10,4,172000,"(41.9339527, -70.73195055)",8.023961732,0,0,1,0,0,0,0,0
114-000-020-011,37  PAULA RD,"$369,200 ",94050,12/30/10,4,332500,"(41.83690605, -70.5993446)",7.407944001,0,1,0,0,0,0,0,0
045-000-039-286,42  PEARL ST,"$219,700 ",4600,6/22/10,3,215000,"(41.9244633, -70.55229503)",1.789111237,1,0,0,0,0,0,0,0
077B-000-010-482,10  PENICK KNOLL,"$1,301,600 ",11657,6/23/10,6,1647000,"(41.90544675, -70.60009395)",2.85230125,1,0,0,0,0,0,0,0
045A-000-010E-000,9  PETERSON RD,"$223,000 ",20434,10/21/10,3,125000,"(41.9319139, -70.5630231)",1.035200199,1,0,0,0,0,0,0,0
078D-000-016-414,23  PICKET FENCE,"$455,900 ",7710,10/12/10,4,415000,"(41.8776211, -70.57938272)",4.507453682,0,1,0,0,0,0,0,0
078D-000-016-409,28  PICKET FENCE,"$370,300 ",6033,2/2/10,4,328960,"(41.87732401, -70.57932287)",4.527854929,0,1,0,0,0,0,0,0
077D-000-010-073A,11  PINE COBBLE,"$668,100 ",16997,11/30/10,6,565000,"(41.88348265, -70.60114077)",4.289980496,0,1,0,0,0,0,0,0
045-000-039-359,49  PINE ST,"$312,000 ",5001,12/15/10,6,290000,"(41.9240161, -70.55113259999999)",1.853295458,1,0,0,0,0,0,0,0
095-000-036-133,37  PLANTATION RD,"$455,000 ",19998,5/26/10,7,256000,"(41.9293932, -70.70625603)",6.741112861,0,1,0,0,0,0,0,0
022-000-166A-000,64  PLEASANT ST,"$308,700 ",6451,1/29/10,6,270000,"(41.9524562, -70.66017435)",4.351144466,0,1,0,0,0,0,0,0
044-006-111-000Z,31  PRISCILLA BCH RD,"$556,400 ",6970,5/27/10,6,525000,"(41.93428155, -70.56438238)",0.869883388,1,0,0,0,0,0,0,0
123-001P-596-000,12  RAYMOND RD,"$306,300 ",35680,6/23/10,4,280000,"(41.79691585, -70.60007141)",10.1471449,0,0,1,0,0,0,0,0
123-001P-1131-000,309  RAYMOND RD,"$317,400 ",27839,6/2/10,5,279900,"(41.813539500000005, -70.58981095)",8.953553864,0,0,1,0,0,0,0,0
122-010P-1196-000,344  RAYMOND RD,"$303,200 ",24790,10/18/10,5,259000,"(41.8130313, -70.59306459999999)",9.002709448,0,0,1,0,0,0,0,0
113-000-017-012,596  RAYMOND RD,"$509,400 ",64430,12/10/10,6,375000,"(41.8267911, -70.58618134)",8.028317904,0,0,1,0,0,0,0,0
123-001P-608-000,92  RAYMOND RD,"$283,300 ",29582,5/19/10,5,247600,"(41.8025359, -70.59960742)",9.759198239,0,0,1,0,0,0,0,0
048-053-030-000,55  REED AVE E,"$197,500 ",5001,1/7/10,4,200000,"(41.89772058, -70.54740733)",3.464473505,1,0,0,0,0,0,0,0
043-000C-058-000,134  ROCKY HILL RD,"$325,800 ",21741,3/29/10,5,295000,"(41.9438909, -70.59843565)",1.122051884,1,0,0,0,0,0,0,0
043-000B-026-000,198  ROCKY HILL RD,"$260,800 ",6534,9/29/10,5,205000,"(41.94714985, -70.5934998)",0.913959947,1,0,0,0,0,0,0,0
044-000-000A-042Z,795  ROCKY HILL RD,"$283,000 ",15682,5/21/10,3,150000,"(41.93090055, -70.56680514)",0.972552083,1,0,0,0,0,0,0,0
044-000-005-533,807  ROCKY HILL RD,"$303,900 ",20469,3/19/10,4,200000,"(41.930832, -70.566129)",0.995220226,1,0,0,0,0,0,0,0
045A-000-003-001,808  ROCKY HILL RD,"$249,100 ",13504,6/3/10,3,205000,"(41.930984, -70.56604499999999)",0.988854031,1,0,0,0,0,0,0,0
043-000C-081-000,91  ROCKY HILL RD,"$255,300 ",18295,5/25/10,4,254500,"(41.942257, -70.602013)",1.305066134,1,0,0,0,0,0,0,0
091-000-002A-002,61  ROCKY POND RD,"$489,900 ",63558,8/27/10,6,458000,"(41.916020700000004, -70.67921389)",5.599577954,0,1,0,0,0,0,0,0
079A-000-002-014,49  ROLLINGWOOD LN,"$680,900 ",60074,6/17/10,7,545000,"(41.9131423, -70.62588769999999)",3.262620671,1,0,0,0,0,0,0,0
082-000-044B-000,101  RUSSELL MILLS RD,"$329,300 ",31324,2/1/10,3,251000,"(41.92084495, -70.6323468)",3.246743692,1,0,0,0,0,0,0,0
019-000-009-000,40  RUSSELL ST,"$426,100 ",6560,7/30/10,3,387000,"(41.95541705, -70.66764371)",4.764577615,0,1,0,0,0,0,0,0
089-000-014-003,20  RYDER`S ORCHARD LN,"$551,800 ",220810,9/2/10,8,800000,"(41.93386701, -70.66892376)",4.793073053,0,1,0,0,0,0,0,0
049-001-000F-000P,55  SACHEM RD,"$320,700 ",10454,6/17/10,6,325000,"(41.89889755, -70.5435397)",3.484868785,1,0,0,0,0,0,0,0
078D-000-016-663,5  SADDLEBACK,"$589,300 ",7205,11/5/10,6,520000,"(41.88238025, -70.58499236)",4.198690942,0,1,0,0,0,0,0,0
023-000-010D-000,138  SANDWICH ST,"$366,800 ",33502,9/30/10,4,180000,"(41.95163025, -70.65497157)",4.077593223,0,1,0,0,0,0,0,0
025-000-043B-000,251  SANDWICH ST,"$427,500 ",25661,2/26/10,7,298000,"(41.948034, -70.647049)",3.642010353,1,0,0,0,0,0,0,0
036-000-013B-000,382  SANDWICH ST,"$497,400 ",43956,2/17/10,6,480000,"(41.9398507, -70.63450335)",2.985934236,1,0,0,0,0,0,0,0
036-000-011-000,404  SANDWICH ST,"$323,300 ",23919,2/16/10,5,257500,"(41.93856795, -70.63262053)",2.896988566,1,0,0,0,0,0,0,0
